index,,,,in gCO2e/kWh,,"Country, Region or World"
location,continentName,countryName,regionName,carbonIntensity,source,Type
GM-BJL,Africa,"Gambia, The",Banjul,700,Energy mix (https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2013/RRA_Gambia.pdf) and GHG of HFO power plants (https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=13&cad=rja&uact=8&ved=2ahUKEwiP46WT_qjnAhXGOcAKHXnSB1AQFjAMegQIBRAB&url=https%3A%2F%2Fidbinvest.org%2Fen%2Fdownload%2F6253&usg=AOvVaw3_YnEh1UVtiuHlNyCvO4G2),Region
WORLD,World,Any,Any,475,https://www.iea.org/reports/global-energy-co2-status-report-2019/emissions,World
TW,Asia,China,Taiwan,509,https://energypedia.info/wiki/Energy_Transition_in_Taiwan,Region
IL,Asia,Israel,Any,580,https://www.electricitymap.org (06/10/2020),Country
ZA,Africa,South Africa,Any,928,carbonfootprint and Climate Transparency (2019 Report),Country
CN,Asia,China,Any,555,carbonfootprint and Climate Transparency (2019 Report),Country
CN-HK,Asia,China,Hong Kong,810,carbonfootprint and Hong Kong Electric Company (2019) and CLP Group (2019),Region
IN,Asia,India,Any,708,carbonfootprint and Climate Transparency (2019 Report),Country
ID,Asia,Indonesia,Any,761,carbonfootprint and Climate Transparency (2019 Report),Country
JP,Asia,Japan,Any,506,carbonfootprint and Climate Transparency (2019 Report),Country
KR,Asia,Korea,Any,500,carbonfootprint and Climate Transparency (2019 Report),Country
SG,Asia,Singapore,Any,418.8,carbonfootprint and Singapore Energy Market Authority (EMA),Country
TH,Asia,Thailand,Any,497,carbonfootprint and Energy Policy and Planning Office (EPPO) Thai Government Ministry of Energy,Country
AU,Oceania,Australia,Any,880,carbonfootprint and Australian Government,Country
NZ,Oceania,New Zealand,Any,105.1,carbonfootprint and Ministry for the Environment https://www.mfe.govt.nz/node/18670/,Country
SA,Asia,Saudi Arabia,Any,732,carbonfootprint and Climate Transparency (2019 Report),Country
TR,Asia,Turkey,Any,481,carbonfootprint and Climate Transparency (2019 Report),Country
AE,Asia,United Arab Emirates,Any,425.8,carbonfootprint and Dubai Electricity & Water Authority (sustainability report 2018),Country
CA,North America,Canada,Any,130,carbonfootprint and UN Framework Convention on Climate Change,Country
MX,North America,Mexico,Any,449,carbonfootprint and Climate Transparency (2019 Report),Country
US,North America,United States of America,Any,453.22,carbonfootprint and US Env Protection Agency (EPA) eGrid,Country
AR,South America,Argentina,Any,313,carbonfootprint and Climate Transparency (2019 Report),Country
BR,South America,Brazil,Any,74,carbonfootprint and Climate Transparency (2019 Report),Country
AT,Europe,Austria,Any,132.86,carbonfootprint and Association of Issuing Bodies (AIB),Country
BE,Europe,Belgium,Any,187.67,carbonfootprint and Association of Issuing Bodies (AIB),Country
BG,Europe,Bulgaria,Any,437.37,carbonfootprint and Association of Issuing Bodies (AIB),Country
HR,Europe,Croatia,Any,514.15,carbonfootprint and Association of Issuing Bodies (AIB),Country
CY,Europe,Cyprus,Any,675.56,carbonfootprint and Association of Issuing Bodies (AIB),Country
CZ,Europe,Czech Republic,Any,595.11,carbonfootprint and Association of Issuing Bodies (AIB),Country
DK,Europe,Denmark,Any,465.21,carbonfootprint and Association of Issuing Bodies (AIB),Country
EE,Europe,Estonia,Any,757.71,carbonfootprint and Association of Issuing Bodies (AIB),Country
FI,Europe,Finland,Any,310.13,carbonfootprint and Association of Issuing Bodies (AIB),Country
FR,Europe,France,Any,43.19,carbonfootprint and Association of Issuing Bodies (AIB),Country
