Who initially entered the data,Curator choses that,,,,,,,,,,,HH:MM:SS,int,.,,"float, in GB",Baker Cluster / CSD3 / cloud computing / local laptop or desktop,,"Needs to match the list ""TDP_cpu"" or ""TDP_gpu""","otherwise, average value",,in h ,in W,in kW,in kWh,,in kgCO2e,,,,,Total impact in kgCO2e,,,,,,,,,,,,,,,
Name,ID,Task,Name of the tool,Selected for publication,Benchmark or not,Group_1,Group_2,Group_3,Group_4,Extra details about what you're doing (incl. source),Pragmatic scaling factor,Running time,Number of cores,CPU or GPU,Mem requested or used,Memory,computing resources,PUE value used,CPU model,PUE if known,Source PUE,Number of hours,Core power draw,Power draw,Energy consumption,Different location if needed,World average impact,tree years,tree-months,km in a car (US),km in a car (EU),ZA,IN,AU-VIC,CN,JP,US,IE,DE,RU,IT,GB,US-MA,CA,FR,NZ,CH
Local impact in kgCO2e/kWh,,,,,,,,,,,,.,.,.,,.,,,.,,,,,,,,0.5,,,,,0.961,0.743,1.170,0.624,0.492,0.476,0.393,0.469,0.330,0.327,0.277,0.393,0.140,0.047,0.105,0.014
Loïc,chloroplast_assembly_GetOrganelle_1,Chloroplast genome assembly,GetOrganelle ,,Benchmark,,,,,"From https://www.biorxiv.org/content/10.1101/665869v1 / Running time had t be estimated from a graph, so not very accurate / input size 2.5M",,0:50:00,1,CPU,,5.25,local server,1.58,Xeon E7-8867 v3,,5.01,0.83,10.3,0.012,0.017,,0.008,0.001,0.009,0.032,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loïc,chloroplast_assembly_GetOrganelle_8,Chloroplast genome assembly,GetOrganelle ,,Benchmark,,,,,idem,,0:26:40,8,CPU,,6.07,local server,1.58,Xeon E7-8867 v3,,,0.44,10.3,0.085,0.063,,0.030,0.003,0.031,0.119,0.171,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loïc,chloroplast_assembly_FastPlast_1,Chloroplast genome assembly,Fast-Plast,,Benchmark,,,,,idem,,2:46:40,1,CPU,,6.8,local server,1.58,Xeon E7-8867 v3,,,2.78,10.3,0.013,0.060,,0.028,0.002,0.030,0.113,0.162,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loïc,chloroplast_assembly_FastPlast_8,Chloroplast genome assembly,Fast-Plast,,Benchmark,,,,,idem,,0:50:00,8,CPU,,6.87,local server,1.58,Xeon E7-8867 v3,,,0.83,10.3,0.085,0.118,,0.056,0.005,0.059,0.224,0.321,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan,tensorQTL_1,Cis-eQTL calling,TensorQTL,,,,,,,"2,745 samples, 17,674 phenotypes, 41 covariates, 10,713,729 variants. cis_nominal flag, default parameters. Run on GPU, 2 nodes",,1:14:26,8,GPU,,192,CSD3,1.15,Tesla P100 PCIe,,,1.24,250,2.072,4.292,,2.039,0.179,2.146,8.122,11.649,4.1,3.2,5.0,2.7,2.1,2.0,1.7,2.0,1.4,1.4,1.2,1.7,0.6,0.2,0.5,0.1
Guillaume,metagenomeClassif_centrifuge_1,Metagenome classification,Centrifuge,,,,,,,"Classification of a human metagenomic sample (SRA accession SRS144560, sampled from the tongue dorsum of a male participant in the dbGaP study ""HMP Core Microbiome Sampling Protocol A (HMP-A); number of paired reads: 158,172,898) using Centrifuge (version 1.0.41) and default GTDB database (release 89, 2019)2,3.",,8:20:39,1,CPU,Requested,256,Baker cluster,1.58,Xeon E5-2683 v4,,,8.34,7.5,0.103,1.433,,0.681,0.060,0.717,2.712,3.890,1.4,1.1,1.7,0.9,0.7,0.7,0.6,0.7,0.5,0.5,0.4,0.6,0.2,0.1,0.2,0.0
,,Exact usage,,,,,,,,,,8:20:39,1,CPU,Used,116.7,Baker cluster,1.58,Xeon E5-2683 v4,,,8.34,7.5,0.051,0.710,,0.337,0.030,0.355,1.344,1.928,0.7,0.5,0.8,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.1,0.0,0.1,0.0
Loïc,,Metagenome classification,Centrifuge,,Benchmark,,,,,"The genomes used were Homo sapiens hg19. Human data were limited to chromosomes 1–22, X and Y. For human data, 30,000 transcript models were chosen at random from a conglomeration of 858,063 gene models obtained by taking the union of ten annotation tracks: RefSeq, GeneID, Aceview, Augustus, ENSEMBL, UCSC, Vega, GenCode, GenScan, and lincRNA.- Simulated data from humans containing 10 million 100 basre read pairs (2x10^9 bases) The most complex forms of the simulate dataset were used here (T3) which had high polymorphism and error rates (0.03 substitution, 0.005 indel, and 0.02 error) - online methods. A job was designed for each alignment run and 16 threads were reserved for each job. (https://www.med.upenn.edu/hpc/) -Intel E5-2665 2.4Ghz Xeon Processors (115 W) - note memory is exact not requested",,0:58:00,1,CPU,,12,,,Any,,,0.97,12.0,0.016,0.027,,0.013,0.001,0.013,0.050,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loïc,,Metagenome classification,Kraken2,,Benchmark,,,,,,,0:20:00,1,CPU,,21,,,Any,,,0.33,12.0,0.020,0.011,,0.005,0.000,0.006,0.021,0.030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loïc,,Metagenome classification,Kraken/Braken,,Benchmark,,,,,,,1:40:00,1,CPU,,154,,,Any,,,1.67,12.0,0.069,0.193,,0.092,0.008,0.097,0.365,0.524,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
