index,,,,,in g Co2 eq / kWh,
location,continentName,countryName,stateName,cityName,impact,source
ZAF-Pretoria,Africa,South Africa,Gauteng,Pretoria,1009,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf
ZAF-WesternCape,Africa,South Africa,Western Cape,Stellenbosch,1009,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf
CHN-HongKong,Asia,China,,Hong Kong,702,https://www.sciencedirect.com/science/article/pii/S095965261731627X
CHN-Beijing,Asia,China,,Beijing,680,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf
CHN-Zhongwei,Asia,China,,Zhongwei,680,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf
IND-Mumbai,Asia,India,Maharashtra,Mumbai,920,http://www.cea.nic.in/reports/others/thermal/tpece/cdm_co2/user_guide_ver13.pdf
IND-Pallavaram,Asia,India,Tamil Nadu,Pallavaram,920,http://www.cea.nic.in/reports/others/thermal/tpece/cdm_co2/user_guide_ver13.pdf
IND-Lohogaon,Asia,India,Maharashtra,Lohogaon,920,http://www.cea.nic.in/reports/others/thermal/tpece/cdm_co2/user_guide_ver13.pdf
JPN-Osaka,Asia,Japan,,Osaka,516,https://www.fepc.or.jp/library/pamphlet/pdf/04_electricity.pdf
JPN-Tokyo,Asia,Japan,,Tokyo,516,https://www.fepc.or.jp/library/pamphlet/pdf/04_electricity.pdf
SGP-JurongWest,Asia,Singapore,,Jurong West,419,https://www.ema.gov.sg/cmsmedia/Publications_and_Statistics/Publications/SES18/Publication_Singapore_Energy_Statistics_2018.pdf
SGP-Singapore,Asia,Singapore,,Singapore,419,https://www.ema.gov.sg/cmsmedia/Publications_and_Statistics/Publications/SES18/Publication_Singapore_Energy_Statistics_2018.pdf
KOR-Seoul,Asia,South Korea,Seoul,Seoul,517,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf
KOR-Busan,Asia,South Korea,Busan,Busan,517,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf
TWN-Changhua,Asia,Taiwan,,Changhua County,557,"measured on July 2, 2019 between 8 and 9 PM, EST on www.electricitymap.org"
BEL-StGhislain,Europe,Belgium,,St. Ghislain,267,https://blog.google/around-the-globe/google-europe/time-shine-new-solar-facility-and-additional-data-center-belgium/
FIN-Hamina,Europe,Finland,,Hamina,211,https://www.sciencedirect.com/science/article/pii/S1361920916307933
FRA-Paris,Europe,France,Ile-de-France,Paris,105,https://www.sciencedirect.com/science/article/pii/S1361920916307933
FRA-Huriel,Europe,France,Auvergne,Huriel,105,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf
FRA-Realmont,Europe,France,Midi-Pyrenees,Realmont,105,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf
DEU-Frankfurt,Europe,Germany,,Frankfurt,615,https://www.sciencedirect.com/science/article/pii/S1361920916307933
IRL-Dublin,Europe,Ireland,,Dublin,617,https://www.sciencedirect.com/science/article/pii/S1361920916307933
NLD-Eemshaven,Europe,Netherlands,Groningen,Eemshaven,569,https://www.sciencedirect.com/science/article/pii/S1361920916307933
NLD-Amsterdam,Europe,Netherlands,North Holland,Amsterdam,569,https://www.sciencedirect.com/science/article/pii/S1361920916307933
SWE-Stockholm,Europe,Sweden,,Stockholm,47,https://www.sciencedirect.com/science/article/pii/S1361920916307933
CHE-Zurich,Europe,Switzerland,,Zürich,16,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf
GBR-London,Europe,United Kingdom,England,London,623,https://www.sciencedirect.com/science/article/pii/S1361920916307933
GBR-Midhurst,Europe,United Kingdom,England,Midhurst,623,https://www.sciencedirect.com/science/article/pii/S1361920916307933
GBR-Wallasey,Europe,United Kingdom,England,Wallasey,623,https://www.sciencedirect.com/science/article/pii/S1361920916307933
CAN-Montreal,North America,Canada,Québec,Montréal,20,Hydro-Québec
CAN-Toronto,North America,Canada,Ontario,Toronto,69.3,Calculated from IESO
CAN-Quebec,North America,Canada,Quebec,Quebec,20,Hydro-Québec
USA-CouncilBluffs,North America,USA,Iowa,Council Bluffs,566.3,eGRID
USA-MoncksCorner,North America,USA,South Carolina,Moncks Corner,367.8,eGRID
USA-Ashburn,North America,USA,Northern Virginia,Ashburn,367.8,eGRID
USA-TheDalles,North America,USA,Oregon,The Dalles,297.6,eGRID
USA-LosAngeles,North America,USA,California,Los Angeles,240.6,eGRID
USA-Columbus,North America,USA,Ohio,Columbus,568.2,eGRID
USA-SanFrancisco,North America,USA,California,San Francisco,240.6,eGRID
USA-Portland,North America,USA,Oregon,Portland,297.6,eGRID
USA-Dublin,North America,USA,Ohio,Dublin,568.2,eGRID
USA-Seattle,North America,USA,Washington,Seattle,297.6,eGRID
USA-DesMoines,North America,USA,Iowa,Des Moines,736.6,eGRID (seem to be in the SRMW grid)
USA-BlueRidge,North America,USA,Virginia,Blue Ridge,367.8,eGRID
USA-Boydton,North America,USA,Virginia,Boydton,367.8,eGRID
USA-Chicago,North America,USA,Illinois,Chicago,568.2,eGRID
USA-SanAntonio,North America,USA,Texas,San Antonio,460.4,eGRID
USA-MountainView,North America,USA,Wyoming,Mountain View,297.6,
USA-Quincy,North America,USA,Washington,Quincy,297.6,eGRID
AUS-Sydney,Oceania,Australia,New South Wales,Sydney,802,http://www.cleanenergyregulator.gov.au/NGER/National%20greenhouse%20and%20energy%20reporting%20data/electricity-sector-emissions-and-generation-data/electricity-sector-emissions-and-generation-data-2016-17
AUS-Melbourne,Oceania,Australia,Victoria,Melbourne,805,http://www.cleanenergyregulator.gov.au/NGER/National%20greenhouse%20and%20energy%20reporting%20data/electricity-sector-emissions-and-generation-data/electricity-sector-emissions-and-generation-data-2016-17
AUS-Forrest,Oceania,Australia,Australian Capital Territory,Forrest,900,https://www.carbonfootprint.com/docs/2018_8_electricity_factors_august_2018_-_online_sources.pdf
BRA-SaoPaulo,South America,Brazil,,São Paulo,205,https://pdfs.semanticscholar.org/bd2a/69da81529a0f8dd16573dfd38e9d7468637e.pdf
