index,,in Watt,,,in nm (not used for now),in cm2,,
model,Manufacturer,TDP,n_cores,Release_year,feature_size,die_area,source,comment
Average,,200.7171053,26.90789474,,10.12,11.64626579,Mean of all the lines,
Core i7-4790,Intel,84,4,,,1.77,https://www.intel.co.uk/content/www/uk/en/products/sku/80806/intel-core-i74790-processor-8m-cache-up-to-4-00-ghz/specifications.html,
Core i9-12900K,Intel,125,16,,,2.15,https://www.techpowerup.com/cpu-specs/core-i9-12900k.c2505,
AMD EPYC Embedded 9254,AMD,200,24,2023.0,5,6.85,https://www.techpowerup.com/cpu-specs/epyc-embedded-9254.c3193,die size = 4*72 mm² (5nm) + 397 (6nm)
AMD EPYC Embedded 9354,AMD,280,32,2023.0,5,9.73,https://www.techpowerup.com/cpu-specs/epyc-embedded-9354.c3192,die size = 8*72 mm² (5nm) + 397 (6nm)
AMD EPYC Embedded 9354P,AMD,280,32,2023.0,5,9.73,https://www.techpowerup.com/cpu-specs/epyc-embedded-9354p.c3195,die size = 8*72 mm² (5nm) + 397 (6nm)
AMD EPYC Embedded 9454,AMD,290,48,2023.0,5,9.73,https://www.techpowerup.com/cpu-specs/epyc-embedded-9454.c3191,die size = 8*72 mm² (5nm) + 397 (6nm)
AMD EPYC Embedded 9454P,AMD,290,48,2023.0,5,9.73,https://www.techpowerup.com/cpu-specs/epyc-embedded-9454p.c3196,die size = 8*72 mm² (5nm) + 397 (6nm)
AMD EPYC Embedded 9554,AMD,360,64,2023.0,5,9.73,https://www.techpowerup.com/cpu-specs/epyc-embedded-9554.c3190,die size = 8*72 mm² (5nm) + 397 (6nm)
AMD EPYC Embedded 9554P,AMD,360,64,2023.0,5,9.73,https://www.techpowerup.com/cpu-specs/epyc-embedded-9554p.c3197,die size = 8*72 mm² (5nm) + 397 (6nm)
AMD EPYC Embedded 9654,AMD,360,96,2023.0,5,12.61,https://www.techpowerup.com/cpu-specs/epyc-embedded-9654.c3189,die size = 12*72 mm² (5nm) + 397 (6nm)
AMD EPYC Embedded 9654P,AMD,360,96,2023.0,5,12.61,https://www.techpowerup.com/cpu-specs/epyc-embedded-9654p.c3198,die size = 12*72 mm² (5nm) + 397 (6nm)
AMD EPYC 7773X,AMD,280,64,2022.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7773x.c2759,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7763,AMD,280,64,2021.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7763.c2373,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7713P,AMD,225,64,2021.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7713p.c2375,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7713,AMD,225,64,2021.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7713.c2374,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7663,AMD,240,56,2021.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7663.c2376,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7643,AMD,225,48,2021.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7643.c2377,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7573X,AMD,280,32,2022.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7573x.c2760,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 75F3,AMD,280,32,2021.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-75f3.c2378,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7543P,AMD,225,32,2021.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7543p.c2380,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7543,AMD,225,32,2021.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7543.c2379,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7513,AMD,200,32,2021.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7513.c2381,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7473X,AMD,240,24,2022.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7473x.c2761,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7453,AMD,225,28,2021.0,7,7.4,https://www.techpowerup.com/cpu-specs/epyc-7453.c2382,die size = 4*81 mm² (7nm) + 416 (12nm)
AMD EPYC 74F3,AMD,240,24,2021.0,7,7.4,https://www.techpowerup.com/cpu-specs/epyc-74F3.c2383,die size = 4*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7443P,AMD,200,24,2021.0,7,7.4,https://www.techpowerup.com/cpu-specs/epyc-7443P.c2385,die size = 4*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7443,AMD,200,24,2021.0,7,7.4,https://www.techpowerup.com/cpu-specs/epyc-7443.c2384,die size = 4*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7413,AMD,180,24,2021.0,7,7.4,https://www.techpowerup.com/cpu-specs/epyc-7413.c2386,die size = 4*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7373X,AMD,240,16,2022.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7373x.c2762,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 73F3,AMD,240,16,2021.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-73F3.c2387,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7343,AMD,190,16,2021.0,7,7.4,https://www.techpowerup.com/cpu-specs/epyc-73F3.c2388,die size = 4*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7313P,AMD,155,16,2021.0,7,7.4,https://www.techpowerup.com/cpu-specs/epyc-7313P.c2390,die size = 4*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7313,AMD,155,16,2021.0,7,7.4,https://www.techpowerup.com/cpu-specs/epyc-7313P.c2389,die size = 4*81 mm² (7nm) + 416 (12nm)
AMD EPYC 72F3,AMD,180,8,2021.0,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7313P.c2389,die size = 8*81 mm² (7nm) + 416 (12nm)
AMD EPYC 7251,AMD,120,8,2017.0,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7251.c1928,
AMD EPYC 7261,AMD,170,8,2018.0,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7261.c2299,
AMD EPYC 7281,AMD,170,8,2017.0,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7281.c1927,
AMD EPYC 7301,AMD,170,16,2017.0,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7301.c1926,
AMD EPYC 7351,AMD,170,16,2017.0,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7351.c1925,
AMD EPYC 7351P,AMD,170,16,2017.0,14,2.13,https://www.techpowerup.com/cpu-specs/epyc-7351p.c1931,
