index,,in Watt,,,,in nm (not used for now),in cm2,in cm2,in gCO2e,in kgSb e,,
model,Manufacturer,TDP,n_cores,TDP_per_core,Release_year,feature_size,die_area,die_area_per_core,embodied_gwp_per_core,embodied_adp_per_core,source,comment
A8-7680,AMD,45,4,11.3,2018,28,2.5,0.625,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/a8-7680.c2120,
A9-9425 SoC,,15,2,7.5,,,,0,4570,1.02E-02,https://www.techpowerup.com/cpu-specs/,
AMD 7552,,200,48,4.2,,,,0,190.4166667,4.25E-04,https://www.amd.com/system/files/documents/AMD-EPYC-7002-Series-Datasheet.pdf,
AMD EPYC 7251,,120,8,15.0,,,,0,1142.5,2.55E-03,https://www.amd.com/en/products/cpu/amd-epyc-7251,
AMD EPYC 7343,,190,16,11.9,,,,0,571.25,1.28E-03,https://www.amd.com/en/products/cpu/amd-epyc-7343,
AMD EPYC 7513,,200,32,6.3,,,,0,285.625,6.38E-04,https://www.amd.com/en/products/cpu/amd-epyc-7513,
AMD EPYC 7763,,280,64,4.4,,,,0,142.8125,3.19E-04,https://www.amd.com/en/products/cpu/amd-epyc-7763 ,
AMD EPYC 7773X,,280,64,4.4,,,,0,142.8125,3.19E-04,https://www.amd.com/en/products/cpu/amd-epyc-7773x ,
AMD EPYC 7H12,,280,64,4.4,,,,0,142.8125,3.19E-04,https://www.amd.com/en/product/9131 ,
AMD EPYC 7V73X,,280,64,4.4,,,,0,142.8125,3.19E-04,https://wccftech.com/amd-epyc-7v73x-cpu-with-3d-v-cache-tested-milan-x-offers-impressive-cache-latency-better-boost-clocks-versus-standard-milan/,
Athlon 3000G,,35,2,17.5,,,,0,4570,1.02E-02,https://www.techpowerup.com/cpu-specs/,
Core 2 Quad Q6600,,95,4,23.8,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Core i3-10100,,65,4,16.3,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Core i3-10300,,62,4,15.5,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Core i3-10320,,91,4,22.8,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Core i3-10350K,,91,4,22.8,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Core i3-9100,Intel,65,4,16.3,2018,14,1.26,0.315,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/core-i3-9100.c2096,
Core i3-9100F,,65,4,16.3,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Core i5-10400,,65,6,10.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Core i5-10400F,,65,6,10.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Core i5-10500,,65,6,10.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Core i5-10600,,65,6,10.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Core i5-10600K,,95,6,15.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Core i5-1145G7,,28,4,7.0,,,,0,2285,5.10E-03,https://www.intel.co.uk/content/www/uk/en/products/sku/208660/intel-core-i51145g7-processor-8m-cache-up-to-4-40-ghz-with-ipu/specifications.html,
Core i5-3570K,,77,4,19.3,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Core i5-4460,,84,4,21.0,,,,0,2285,5.10E-03,https://ark.intel.com/content/www/us/en/ark/products/80817/intel-core-i5-4460-processor-6m-cache-up-to-3-40-ghz.html,
Core i5-9400,,65,6,10.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Core i5-9400F,,65,6,10.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Core i5-9600KF,,95,6,15.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Core i7-10700,,65,8,8.1,,,,0,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/,
Core i7-10700K,,125,8,15.6,,,,0,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/,
Core i7-4790,,84,4,21.0,,,,0,2285,5.10E-03,https://www.intel.co.uk/content/www/uk/en/products/sku/80806/intel-core-i74790-processor-8m-cache-up-to-4-00-ghz/specifications.html,
Core i7-4930K,,130,6,21.7,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Core i7-6700K,,95,4,23.8,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Core i7-8700K,,95,6,15.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Core i7-9700F,,65,8,8.1,,,,0,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/,
Core i7-9700K,,95,8,11.9,,,,0,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/,
Core i9-10900K,,125,10,12.5,,,,0,914,2.04E-03,https://www.techpowerup.com/cpu-specs/,
Core i9-10900KF,,105,10,10.5,,,,0,914,2.04E-03,https://www.techpowerup.com/cpu-specs/,
Core i9-10900XE,,165,10,16.5,,,,0,914,2.04E-03,https://www.techpowerup.com/cpu-specs/,
Core i9-10920XE,,165,12,13.8,,,,0,761.6666667,1.70E-03,https://www.techpowerup.com/cpu-specs/,
Core i9-12900K,,125,16,7.8,,,,0,571.25,1.28E-03,https://ark.intel.com/content/www/us/en/ark/products/134599/intel-core-i912900k-processor-30m-cache-up-to-5-20-ghz.html,
Core i9-9900K,,95,8,11.9,,,,0,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/,
FX-6300,,95,6,15.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
FX-8350,,125,8,15.6,,,,0,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 3 2200G,,65,4,16.3,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 3 3200G,,65,4,16.3,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 3 3200U,,15,2,7.5,,,,0,4570,1.02E-02,https://www.techpowerup.com/cpu-specs/,
Ryzen 5 1600,,65,6,10.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 5 2600,,65,6,10.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 5 3400G,,65,4,16.3,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 5 3500U,,15,4,3.8,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 5 3600,,65,6,10.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 5 3600X,,95,6,15.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 7 2700X,,105,8,13.1,,,,0,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 7 3700X,,65,8,8.1,,,,0,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 7 3800X,,105,8,13.1,,,,0,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 9 3900X,,125,12,10.4,,,,0,761.6666667,1.70E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 9 3950X,,105,16,6.6,,,,0,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen Threadripper 2990WX,,250,32,7.8,,,,0,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/,
Ryzen Threadripper 3990X,,280,64,4.4,,,,0,142.8125,3.19E-04,https://www.techpowerup.com/cpu-specs/,
Xeon E5-2660 v3,,105,10,10.5,,,,0,914,2.04E-03,https://ark.intel.com/content/www/us/en/ark/products/81706/intel-xeon-processor-e5-2660-v3-25m-cache-2-60-ghz.html,
Xeon E5-2665,,115,8,14.4,,,,0,1142.5,2.55E-03,https://ark.intel.com/content/www/us/en/ark/products/64597/intel-xeon-processor-e5-2665-20m-cache-2-40-ghz-8-00-gt-s-intel-qpi.html,
Xeon E5-2670,,115,8,14.4,,,,0,1142.5,2.55E-03,https://ark.intel.com/content/www/us/en/ark/products/64595/intel-xeon-processor-e5-2670-20m-cache-2-60-ghz-8-00-gt-s-intel-qpi.html,
Xeon E5-2670 v2,,115,10,11.5,,,,0,914,2.04E-03,https://ark.intel.com/content/www/us/en/ark/products/75275/intel-xeon-processor-e5-2670-v2-25m-cache-2-50-ghz.html,
Xeon E5-2680 v3,,120,12,10.0,,,,0,761.6666667,1.70E-03,https://www.intel.co.uk/content/www/uk/en/products/processors/xeon/e5-processors/e5-2680-v3.html,
