index,,,,in gCO2e/kWh,,"Country, Region or World"
location,continentName,countryName,regionName,carbonIntensity,source,Type
WORLD,World,Any,Any,475,https://www.iea.org/reports/global-energy-co2-status-report-2019/emissions,World
ZA,Africa,South Africa,Any,960.6,carbonfootprint and Climate Transparency (2018 Report),Country
CN,Asia,China,Any,623.6,carbonfootprint and Climate Transparency (2018 Report),Country
CN-HK,Asia,China,Hong Kong,770,carbonfootprint and Hong Kong Electric Company (2018) and CLP Group (2018),Region
IN,Asia,India,Any,742.9,carbonfootprint and Climate Transparency (2018 Report),Country
ID,Asia,Indonesia,Any,755.1,carbonfootprint and Climate Transparency (2018 Report),Country
JP,Asia,Japan,Any,491.6,carbonfootprint and Climate Transparency (2018 Report),Country
KR,Asia,Korea,Any,517,carbonfootprint and Climate Transparency (2018 Report),Country
AU,Oceania,Australia,Any,900,carbonfootprint and Australian Government,Country
NZ,Oceania,New Zealand,Any,105.1,carbonfootprint and Ministry for the Environment https://www.mfe.govt.nz/node/18670/,Country
SA,Asia,Saudi Arabia,Any,717.6,carbonfootprint and Climate Transparency (2018 Report),Country
TR,Asia,Turkey,Any,543.4,carbonfootprint and Climate Transparency (2018 Report),Country
AE,Asia,United Arab Emirates,Any,433.3,carbonfootprint and Dubai Electricity & Water Authority (sustainability report 2017),Country
CA,North America,Canada,Any,140,carbonfootprint and UN Framework Convention on Climate Change,Country
MX,North America,Mexico,Any,464,carbonfootprint and Climate Transparency (2018 Report),Country
US,North America,United States of America,Any,475.9,carbonfootprint and US Env Protection Agency (EPA) eGrid,Country
AR,South America,Argentina,Any,358.3,carbonfootprint and Climate Transparency (2018 Report),Country
BR,South America,Brazil,Any,92.7,carbonfootprint and Climate Transparency (2018 Report),Country
AT,Europe,Austria,Any,142,carbonfootprint and Association of Issuing Bodies (AIB),Country
BE,Europe,Belgium,Any,167,carbonfootprint and Association of Issuing Bodies (AIB),Country
BG,Europe,Bulgaria,Any,470,carbonfootprint and Association of Issuing Bodies (AIB),Country
HR,Europe,Croatia,Any,417,carbonfootprint and Association of Issuing Bodies (AIB),Country
CY,Europe,Cyprus,Any,639,carbonfootprint and Association of Issuing Bodies (AIB),Country
CZ,Europe,Czech Republic,Any,576,carbonfootprint and Association of Issuing Bodies (AIB),Country
DK,Europe,Denmark,Any,209,carbonfootprint and Association of Issuing Bodies (AIB),Country
EE,Europe,Estonia,Any,875,carbonfootprint and Association of Issuing Bodies (AIB),Country
FI,Europe,Finland,Any,143,carbonfootprint and Association of Issuing Bodies (AIB),Country
